NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
36;0;0.2311569996891194;5.690.953.399.971.470;22.902.538.000.380.400;4.050.312.999.424.930;12.438.781.000.128.000;26.439.399.998.707.800;3,40E+06;
36;1;0.2867240000341553;3.716.431.999.964.690;23.150.517.999.965.800;37.153.359.999.138.000;12.265.856.999.874.800;24.871.499.999.790.100;1,45E+07;
36;2;0.4128500004298985;40.229.295.999.779.400;22.937.963.999.538.600;37.202.879.993.856.100;12.408.092.000.441.600;2.428.503.999.908.570;5,59E+05;
40;0;0.38423800015152665;38.096.849.999.419.600;2.473.605.600.062.000;4.755.160.000.058.820;13.982.034.000.036.900;2.552.079.999.986.740;6,34E+05;
40;1;0.24375200064241653;4.161.087.200.009.200;24.948.679.000.772.200;41.192.259.996.023.400;13.108.955.999.996.300;26.380.180.006.526.600;1,50E+07;
40;2;0.20034199951624032;3.950.481.099.946.040;23.488.933.000.407.900;37.778.370.005.980.800;12.969.751.000.127.800;27.576.109.996.516.600;9,07E+05;
44;0;0.3502340005070437;3.460.328.199.980.720;29.589.851.000.309.800;3.893.611.000.421.510;1.252.387.499.971.510;2.497.565.999.874.490;1,31E+07;
44;1;0.35125499925925396;3.905.223.499.987.180;23.985.443.999.663.400;37.939.680.005.365.500;12.691.448.999.248.600;25.409.469.999.431.100;1,36E+07;
44;2;0.5025230002502212;3.733.764.099.979.450;2.316.862.400.039.090;37.216.240.007.182.900;12.554.934.999.570.800;24.831.020.000.419.800;2,21E+07;
48;0;0.40589899981569033;4.076.755.499.954.740;2.500.763.699.936.210;3.779.302.999.646.460;12.695.825.999.799.100;24.396.190.001.425.500;9,52E+05;
48;1;0.33211000027222326;37.668.822.000.341.600;22.961.190.000.387.400;36.933.280.007.360.700;12.426.439.000.591.900;25.225.330.000.466.700;2,62E+06;
48;2;0.3377740003998042;3.590.548.200.008.920;22.908.471.999.471.600;36.957.029.997.211.000;12.432.088.999.958.000;26.221.429.998.258.800;1,21E+07;
52;0;0.31272999967768556;36.716.663.999.868.600;23.975.996.000.444.800;3.725.272.000.338.000;12.354.041.000.435.200;2.443.978.999.508.540;2,58E+07;
52;1;0.30779200005781604;3.635.037.599.997.300;22.949.495.999.455.300;3.689.283.999.847.240;12.285.687.000.257.800;24.889.559.999.792.200;8,29E+04;
52;2;0.37053300002298784;3.666.636.700.017.980;22.851.111.999.443.600;3.688.345.000.227.850;1.243.485.199.938.730;2.477.072.000.147.010;6,69E+05;
56;0;0.30683400018460816;3.725.914.499.955.250;24.320.240.999.259.100;37.124.070.004.210.800;1.235.988.600.001.290;24.911.849.995.987.700;7,35E+05;
56;1;0.24290500005008653;3.393.297.200.000.230;22.893.450.999.617.900;36.333.360.003.482.000;12.330.975.000.622.800;24.508.179.994.882.000;9,06E+05;
56;2;0.38059500002418645;3.895.895.900.041.060;2.286.751.700.012.240;36.898.860.007.568.100;12.351.489.999.673.500;24.903.539.997.467.300;2,50E+07;
60;0;0.42055199992319103;3.696.375.499.930.580;23.941.827.999.806.200;37.131.339.995.539.700;1.248.108.100.026.000;25.211.400.006.810.400;8,22E+05;
60;1;0.4018340005131904;35.472.632.000.164.500;2.286.052.199.997.350;3.711.336.000.378.650;1.241.367.500.006.160;25.071.179.998.121.800;3,94E+05;
60;2;0.36135100071987836;3.659.690.800.031.960;23.321.503.000.261.100;38.149.269.994.391.900;1.260.281.600.025.330;25.208.240.003.848.900;3,17E+06;
